sample_id,machine_id,fault_mode,severity,rpm,load_percent,split,provenance,sample_rate_hz,signal_length,duration_seconds,last_timestamp_seconds,relative_csv_path,csv_sha256
FGOE-00-0000,SIM-RM-00,normal,0.0,2123.956048555963,65.72149078264366,train,ForgeGuard physics-informed generator,12000.0,2048,0.170666667,0.170583333,train/normal/FGOE-00-0000__normal.csv,70919142079bd26c8c72df64de102789f5626e77b918432870e88d4b095e7396
FGOE-00-0001,SIM-RM-01,normal,0.0,2208.5979199113826,83.81576203415548,train,ForgeGuard physics-informed generator,12000.0,2048,0.170666667,0.170583333,train/normal/FGOE-00-0001__normal.csv,b28bf0433ed94de59ba0928468aaf6a9c6e06e0cbd75777a548d1182bf7a1be9
FGOE-00-0002,SIM-RM-02,normal,0.0,1444.1773478876496,103.29356461457292,train,ForgeGuard physics-informed generator,12000.0,2048,0.170666667,0.170583333,train/normal/FGOE-00-0002__normal.csv,90b0b4f650fa2a9e2e32d3fde63b328c7d27a0820b8f8c5e11e41ceb3d0bfd97
FGOE-00-0003,SIM-RM-03,normal,0.0,2111.139701990353,90.02450136938677,train,ForgeGuard physics-informed generator,12000.0,2048,0.170666667,0.170583333,train/normal/FGOE-00-0003__normal.csv,ee7ae11c0ef9bada9334e08fc78b4612e1444f0003982aa38cd725577d1b8a16
FGOE-00-0004,SIM-RM-04,normal,0.0,1478.113632675546,66.5270156526897,train,ForgeGuard physics-informed generator,12000.0,2048,0.170666667,0.170583333,train/normal/FGOE-00-0004__normal.csv,683ef193db53cfdd65559b6cbe90bd82a915523bc5af34fe5ee5f6f1d2693948
FGOE-00-0005,SIM-RM-05,normal,0.0,1720.7980242325812,99.87354921940212,train,ForgeGuard physics-informed generator,12000.0,2048,0.170666667,0.170583333,train/normal/FGOE-00-0005__normal.csv,96cdf853da74e2bf59f4bc31e0c08d44bf75ad10ce06d1a826ffc98648a8f969
FGOE-00-0006,SIM-RM-06,normal,0.0,1993.8651200806644,92.5933129289581,train,ForgeGuard physics-informed generator,12000.0,2048,0.170666667,0.170583333,train/normal/FGOE-00-0006__normal.csv,bc4c1bd019278c680f26d0f1fc66a5cfce90cdeaf8379adb1cf7325d1441c41b
FGOE-00-0007,SIM-RM-07,normal,0.0,1793.4141988273311,50.90671052493438,train,ForgeGuard physics-informed generator,12000.0,2048,0.170666667,0.170583333,train/normal/FGOE-00-0007__normal.csv,4042122630669213779b77bfe6b414b1e8e9ef9b1c1982a87c4be5e018a7adc9
FGOE-00-0008,SIM-RM-08,normal,0.0,1904.5847870158348,39.46720792729227,train,ForgeGuard physics-informed generator,12000.0,2048,0.170666667,0.170583333,train/normal/FGOE-00-0008__normal.csv,4e268c84ce6f1c91d146f91752d130fa3d13c28be9e50b2ec9c25244f3824e1f
FGOE-00-0009,SIM-RM-09,normal,0.0,2177.631171992582,79.21650793854454,validation,ForgeGuard physics-informed generator,12000.0,2048,0.170666667,0.170583333,validation/normal/FGOE-00-0009__normal.csv,fa4156de2d41aa9aa20661eb7b3f4b5b70de7fa3d805863ed516e4d646b3c2a6
FGOE-00-0010,SIM-RM-10,normal,0.0,2108.0877400853738,59.81681776909079,validation,ForgeGuard physics-informed generator,12000.0,2048,0.170666667,0.170583333,validation/normal/FGOE-00-0010__normal.csv,02b51db4d339d950945ef7ea9a02d659803fb67d9880177fe8fa9fdb3aca7f9e
FGOE-00-0011,SIM-RM-11,normal,0.0,2320.6980243949033,97.51847849255384,test,ForgeGuard physics-informed generator,12000.0,2048,0.170666667,0.170583333,test/normal/FGOE-00-0011__normal.csv,55505ae0d2677d9fdc99b27bebc140619a8da9ff8a405665814fde63d48568d2
FGOE-00-0012,SIM-RM-12,normal,0.0,2128.3834970737616,48.62470954963773,test,ForgeGuard physics-informed generator,12000.0,2048,0.170666667,0.170583333,test/normal/FGOE-00-0012__normal.csv,96ca97563efb8af4131090b86370be8cc69e0b851ddcc6da8cce0c38066d5b39
FGOE-00-0013,SIM-RM-13,normal,0.0,1816.7210037270343,38.066263605106016,test,ForgeGuard physics-informed generator,12000.0,2048,0.170666667,0.170583333,test/normal/FGOE-00-0013__normal.csv,89ae91a1b9a6dca54c667aef913aca1677e57628ab6879809758fe6834b4c799
FGOE-00-0014,SIM-RM-00,normal,0.0,1504.2894920675478,82.81342672697183,train,ForgeGuard physics-informed generator,12000.0,2048,0.170666667,0.170583333,train/normal/FGOE-00-0014__normal.csv,65e55a09563d140c5e5e8f3327bdefaf115ff98edf41453c491eb521f4885fb3
